"alfred","alfred@hotmail.com","2015-08-21 02:32:23","A Dozen Heros","Jessica Rau","394186","2012"
"alfred","alfred@hotmail.com","2015-08-11 07:53:55","A Dozen Heros","Jessica Rau","394186","2012"
"alfred","alfred@hotmail.com","2015-09-17 19:50:04","A Dozen Heros","Keeling, Baumbach and Crist","230308","1963"
"alfred","alfred@hotmail.com","2015-07-18 06:42:40","A Dozen Heros","Keeling, Baumbach and Crist","230308","1963"
"alfred","alfred@hotmail.com","2015-09-14 18:33:35","A Dozen Heros","Mathilde Heathcote PhD","280972","2012"
"alfred","alfred@hotmail.com","2015-08-25 02:57:16","A Dozen Heros","Mathilde Heathcote PhD","280972","2012"
"alfred","alfred@hotmail.com","2015-08-09 03:19:24","A Dozen Heros","Mathilde Heathcote PhD","280972","2012"
"alfred","alfred@hotmail.com","2015-10-20 05:17:57","A Dozen Heros","Ms. Freddie Ankunding","233573","1974"
"alfred","alfred@hotmail.com","2015-08-20 18:40:06","A Dozen Heros","Ms. Freddie Ankunding","233573","1974"
"alfred","alfred@hotmail.com","2015-08-08 22:46:02","A Dozen Heros","Ms. Freddie Ankunding","233573","1974"
"alfred","alfred@hotmail.com","2015-07-23 20:18:24","A Dozen Heros","Ms. Freddie Ankunding","233573","1974"
"alfred","alfred@hotmail.com","2015-09-20 23:24:38","A Dozen Heros","Nicklaus Wisoky","354080","2014"
"alfred","alfred@hotmail.com","2015-07-20 04:11:05","A Year of Walking","Daugherty-Conroy","407810","1994"
"alfred","alfred@hotmail.com","2015-09-12 20:38:36","A Year of Walking","Deckow-Kovacek","454822","1995"
"alfred","alfred@hotmail.com","2015-10-06 12:35:45","A Year of Walking","Hunter Shields I","362717","1974"
"alfred","alfred@hotmail.com","2015-09-13 23:16:18","A Year of Walking","Hunter Shields I","362717","1974"
"alfred","alfred@hotmail.com","2015-08-09 23:18:20","A Year of Walking","Hunter Shields I","362717","1974"
"alfred","alfred@hotmail.com","2015-08-29 17:29:17","A Year of Walking","McLaughlin Group","300071","1947"
"alfred","alfred@hotmail.com","2015-08-03 15:29:09","A Year of Walking","McLaughlin Group","300071","1947"
"alfred","alfred@hotmail.com","2015-07-23 10:56:18","A Year of Walking","McLaughlin Group","300071","1947"
"alfred","alfred@hotmail.com","2015-10-24 03:38:06","A Year of Walking","Weldon Sporer","127547","1965"
"alfred","alfred@hotmail.com","2015-10-04 11:39:48","A Year of Walking","Weldon Sporer","127547","1965"
"alfred","alfred@hotmail.com","2015-08-28 12:07:21","A Year of Walking","Weldon Sporer","127547","1965"
"alfred","alfred@hotmail.com","2015-10-10 00:07:07","Burning Water","Amani Marvin","290475","1982"
"alfred","alfred@hotmail.com","2015-10-02 07:24:13","Burning Water","Amani Marvin","290475","1982"
"alfred","alfred@hotmail.com","2015-08-12 22:09:52","Burning Water","Amani Marvin","290475","1982"
"alfred","alfred@hotmail.com","2015-10-22 02:01:43","Burning Water","Evalyn Kling","395217","1957"
"alfred","alfred@hotmail.com","2015-10-09 00:53:31","Burning Water","Evalyn Kling","395217","1957"
"alfred","alfred@hotmail.com","2015-08-27 02:02:27","Burning Water","Evalyn Kling","395217","1957"
"alfred","alfred@hotmail.com","2015-08-15 01:10:20","Burning Water","Felicity Krajcik","424201","2008"
"alfred","alfred@hotmail.com","2015-09-10 01:20:37","Burning Water","Gorczany Inc","162936","1956"
"alfred","alfred@hotmail.com","2015-07-30 05:04:37","Burning Water","Gorczany Inc","162936","1956"
"alfred","alfred@hotmail.com","2015-07-24 23:12:35","Burning Water","Gorczany Inc","162936","1956"
"alfred","alfred@hotmail.com","2015-08-08 01:47:46","Burning Water","Junius Heathcote III","194585","1967"
"alfred","alfred@hotmail.com","2015-09-08 17:16:11","Burning Water","Keebler-Balistreri","474219","2004"
"alfred","alfred@hotmail.com","2015-08-04 02:14:53","Burning Water","Keebler-Balistreri","474219","2004"
"alfred","alfred@hotmail.com","2015-07-26 13:42:23","Burning Water","Keebler-Balistreri","474219","2004"
"alfred","alfred@hotmail.com","2015-10-23 22:47:46","Burning Water","Lueilwitz-Cruickshank","370384","2013"
"alfred","alfred@hotmail.com","2015-10-20 05:57:40","Burning Water","Lueilwitz-Cruickshank","370384","2013"
"alfred","alfred@hotmail.com","2015-08-10 22:18:47","Burning Water","Lueilwitz-Cruickshank","370384","2013"
"alfred","alfred@hotmail.com","2015-10-18 16:12:37","Burning Water","McClure Inc","417610","2015"
"alfred","alfred@hotmail.com","2015-08-31 00:43:03","Burning Water","McClure Inc","417610","2015"
"alfred","alfred@hotmail.com","2015-08-20 05:09:43","Burning Water","Morissette, Keebler and Fahey","174719","1992"
"alfred","alfred@hotmail.com","2015-07-28 11:46:25","Burning Water","Morissette, Keebler and Fahey","174719","1992"
"alfred","alfred@hotmail.com","2015-10-09 00:24:11","Burning Water","Philip Moore","218591","1967"
"alfred","alfred@hotmail.com","2015-10-07 02:31:54","Burning Water","Philip Moore","218591","1967"
"alfred","alfred@hotmail.com","2015-08-26 07:37:29","Burning Water","Sim Marquardt","142894","1975"
